STATE,#,MAKER,JAN,FEB,MAR,APR,MAY,TOTAL,,,,
Andaman & Nicobar Island(5),1,BAJAJ AUTO LTD,2,0,1,0,6,9,,,,
Andaman & Nicobar Island(5),2,SUZUKI MOTORCYCLE INDIA PVT LTD,0,1,1,1,0,3,,,Row Labels,Sum of MAY
Andaman & Nicobar Island(5),3,TVS MOTOR COMPANY LTD,0,5,6,2,0,13,,,Andhra Pradesh(84),6854
Andhra Pradesh(84),1,ATHER ENERGY LTD,860,"1,087","2,095","1,430","1,191","6,663",,,Karnataka(68),19299
Andhra Pradesh(84),2,BAJAJ AUTO LTD,965,"1,339","1,956","1,605","1,504","7,369",,,Kerala(87),8164
Andhra Pradesh(84),3,BATTRE ELECTRIC MOBLITY PVT LTD,4,4,6,6,1,21,,,Puducherry(8),505
Andhra Pradesh(84),4,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2,2,7,2,1,14,,,Tamil Nadu(148),17799
Andhra Pradesh(84),5,BGAUSS AUTO PRIVATE LIMITED,25,60,71,68,51,275,,,Telangana(57),8267
Andhra Pradesh(84),6,BMR EV INDUSTRIES PVT LTD,0,0,0,2,0,2,,,Grand Total,60888
Andhra Pradesh(84),7,BMW INDIA PVT LTD,0,0,1,1,0,2,,,,
Andhra Pradesh(84),8,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,0,0,0,1,0,1,,,,
Andhra Pradesh(84),9,CHANDANA CORPORATION,0,1,0,5,1,7,,,,
Andhra Pradesh(84),10,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),1,1,0,0,0,2,,,,
Andhra Pradesh(84),11,GODAWARI ELECTRIC MOTORS PVT LTD,6,3,0,3,0,12,,,,
Andhra Pradesh(84),12,GREAVES ELECTRIC MOBILITY LTD,122,174,213,279,284,"1,072",,,,
Andhra Pradesh(84),13,HERO MOTOCORP LTD,360,645,791,831,669,"3,296",,,,
Andhra Pradesh(84),14,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,3,1,3,3,8,18,,,,
Andhra Pradesh(84),15,HONGKONG YIXING (IMPORTER: ADMS MARKETING),2,8,0,4,1,15,,,,
Andhra Pradesh(84),16,HSU DRAGON (IMPORTER: BMR ELECTRIC),0,0,5,9,2,16,,,,
Andhra Pradesh(84),17,HSU DRAGON (IMPORTER: BMR EV INDUSTRIES),0,0,2,0,0,2,,,,
Andhra Pradesh(84),18,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),0,0,1,0,0,1,,,,
Andhra Pradesh(84),19,KAINING (HONGKONG) (IMPORTER: BMR EV INDUSTRIES),1,4,2,0,2,9,,,,
Andhra Pradesh(84),20,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,35,65,49,51,59,259,,,,
Andhra Pradesh(84),21,KLB KOMAKI PVT LTD,8,24,41,30,25,128,,,,
Andhra Pradesh(84),22,LECTRIX E VEHICLES PVT LTD,4,3,5,5,2,19,,,,
Andhra Pradesh(84),23,MATTER MOTOR WORKS PVT LTD,2,2,2,2,9,17,,,,
Andhra Pradesh(84),24,NANJING VMOTO (IMPORTER: VAJRAM ELECTRIC MOBILITY),1,1,5,1,0,8,,,,
Andhra Pradesh(84),25,NDS ECO MOTORS PVT LTD,1,0,0,0,0,1,,,,
Andhra Pradesh(84),26,NUMEROS MOTORS PVT LTD,4,5,13,3,2,27,,,,
Andhra Pradesh(84),27,OBEN ELECTRIC VEHICLES PVT LTD,6,16,20,25,13,80,,,,
Andhra Pradesh(84),28,OKINAWA AUTOTECH PVT LTD,0,0,3,2,0,5,,,,
Andhra Pradesh(84),29,OLA ELECTRIC TECHNOLOGIES PVT LTD,320,228,213,470,376,"1,607",,,,
Andhra Pradesh(84),30,OPG MOBILITY AND POWER PVT LTD,0,2,1,0,0,3,,,,
Andhra Pradesh(84),31,PUR ENERGY PVT LTD,62,22,13,20,9,126,,,,
Andhra Pradesh(84),32,QUANTUM ENERGY LTD.,12,34,31,33,39,149,,,,
Andhra Pradesh(84),33,REVOLT INTELLICORP PVT LTD,0,6,2,9,2,19,,,,
Andhra Pradesh(84),34,RGM BUSINESS PLUS PVT LTD,0,0,1,0,0,1,,,,
Andhra Pradesh(84),35,RIVER MOBILITY PVT LTD,209,263,380,462,346,"1,660",,,,
Andhra Pradesh(84),36,SIMPLEENERGY PVT LTD,37,37,107,86,93,360,,,,
Andhra Pradesh(84),37,SUZUKI MOTORCYCLE INDIA PVT LTD,3,24,32,24,48,131,,,,
Andhra Pradesh(84),38,TVS MOTOR COMPANY LTD,"1,020","1,632","2,287","2,111","2,075","9,125",,,,
Andhra Pradesh(84),39,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,5,9,14,28,15,71,,,,
Andhra Pradesh(84),40,WUXI MDKA NEW ENERGY (IMPORTER: HESTUR ENERGY),92,17,62,23,25,219,,,,
Andhra Pradesh(84),41,WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),2,7,3,1,1,14,,,,
Andhra Pradesh(84),42,WUXI YIZHILING (IMPORTER: BMR EV INDUSTRIES),0,2,2,0,0,4,,,,
Andhra Pradesh(84),43,ZELIO E-MOBILITY LTD,1,0,0,0,0,1,,,,
Arunachal Pradesh(29),1,ATHER ENERGY LTD,0,0,17,0,0,17,,,,
Arunachal Pradesh(29),2,BAJAJ AUTO LTD,0,3,0,2,0,5,,,,
Arunachal Pradesh(29),3,ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),0,0,0,0,4,4,,,,
Arunachal Pradesh(29),4,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),1,0,0,1,0,2,,,,
Arunachal Pradesh(29),5,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),1,0,0,0,0,1,,,,
Arunachal Pradesh(29),6,TVS MOTOR COMPANY LTD,2,0,0,1,0,3,,,,
Arunachal Pradesh(29),7,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,1,0,0,1,,,,
Assam(35),1,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,0,0,0,1,1,,,,
Assam(35),2,ATHER ENERGY LTD,60,82,114,82,93,431,,,,
Assam(35),3,BAJAJ AUTO LTD,40,41,79,76,81,317,,,,
Assam(35),4,E-SPRINTO GREEN ENERGY PVT LTD,0,1,0,0,0,1,,,,
Assam(35),5,GREAVES ELECTRIC MOBILITY LTD,2,13,12,11,11,49,,,,
Assam(35),6,HERO MOTOCORP LTD,13,16,19,24,52,124,,,,
Assam(35),7,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,2,2,0,0,5,,,,
Assam(35),8,KLB KOMAKI PVT LTD,2,0,5,5,2,14,,,,
Assam(35),9,LECTRIX E VEHICLES PVT LTD,5,2,1,2,6,16,,,,
Assam(35),10,LIMA VEHICLE (IMPORTER: SARAOGI E-VENTURES),0,0,3,0,0,3,,,,
Assam(35),11,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),1,0,0,2,0,3,,,,
Assam(35),12,OKINAWA AUTOTECH PVT LTD,1,0,2,2,1,6,,,,
Assam(35),13,OLA ELECTRIC TECHNOLOGIES PVT LTD,79,48,129,126,168,550,,,,
Assam(35),14,OPG MOBILITY AND POWER PVT LTD,2,0,1,0,1,4,,,,
Assam(35),15,PUR ENERGY PVT LTD,0,2,4,4,7,17,,,,
Assam(35),16,REVOLT INTELLICORP PVT LTD,0,1,5,1,0,7,,,,
Assam(35),17,SOKUDO ELECTRIC INDIA PVT LTD,0,4,6,3,4,17,,,,
Assam(35),18,SUZUKI MOTORCYCLE INDIA PVT LTD,0,8,3,0,1,12,,,,
Assam(35),19,TVS MOTOR COMPANY LTD,51,57,103,95,135,441,,,,
Assam(35),20,WARIVO MOTOR INDIA PVT LTD,0,0,0,1,0,1,,,,
Bihar(48),1,ATHER ENERGY LTD,231,257,433,383,378,"1,682",,,,
Bihar(48),2,BAJAJ AUTO LTD,233,260,457,330,397,"1,677",,,,
Bihar(48),3,GREAVES ELECTRIC MOBILITY LTD,400,351,630,546,660,"2,587",,,,
Bihar(48),4,HERO MOTOCORP LTD,495,452,709,559,640,"2,855",,,,
Bihar(48),5,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,3,12,13,28,,,,
Bihar(48),6,JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD),4,0,4,4,5,17,,,,
Bihar(48),7,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),2,0,0,1,0,3,,,,
